breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Bulldog,"Friendly, Courageous, Calm",5,35.56,38.1,18.1436948,22.6796185,8.0,10.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,3.0,4.0,3,3,4,3.8,iconografia/razas/bulldog.jpg,"Amigable, valiente y tranquilo. Parece serio pero es un compañero dulce y muy leal. Es ideal para vivir en piso y adora los momentos de calma con su familia."
Bullmastiff,"Affectionate, Loyal, Brave",51,60.96,68.58,45.359237,58.9670081,7.0,9.0,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,3.0,4,3,3,3.2,iconografia/razas/bullmastiff.jpg,"Cariñoso, leal y valiente. Es un guardián serio que con su familia es muy tierno. Necesita socialización temprana y un dueño que entienda su tamaño y carácter."
Cairn Terrier,"Alert, Cheerful, Busy",69,24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,2.0,3,3,4,3.8,iconografia/razas/cairn_terrier.jpg,"Alerta, alegre y siempre ocupado. Curioso y activo, es el típico terrier que necesita estimulación constante. Con su familia es muy cariñoso y divertido."
Canaan Dog,"Confident, Alert, Vigilant",179,48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,Herding Group,0.4,Weekly Brushing,1.0,Frequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,5.0,3,2,2,2.6,iconografia/razas/canaan_dog.jpg,"Seguro, alerta y vigilante. Es un perro primitivo con instintos muy desarrollados. Con su familia es leal y afectuoso aunque reservado con los desconocidos."
Cane Corso,"Affectionate, Intelligent, Majestic",32,59.69,69.85,0.0,0.0,9.0,12.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,2.0,4,3,3,3.2,iconografia/razas/cane_corso.png,"Cariñoso, inteligente y majestuoso. Es un guardián serio y leal que con su familia es muy afectuoso. Necesita un dueño con experiencia y mano firme."
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",68,26.67,31.75,11.33980925,17.23651006,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,2.0,3.0,4,3,3,3.2,iconografia/razas/cardigan_welsh_corgi.jpg,"Cariñoso, leal e inteligente. Es el corgi con cola, activo y versátil. Aprende rápido y es un compañero equilibrado tanto para familias como para personas solas."
Carolina Dog,"Loyal, Independent, Reserved with Strangers",,45.085,49.53,13.6077711,24.947580350000003,,,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,1.0,3.0,3,5,3,4.2,iconografia/razas/carolina_dog.jpg,"Leal, independiente y reservado con desconocidos. Es un perro primitivo con instintos muy desarrollados. Con su familia es cariñoso aunque tardará en confiar."
Catahoula Leopard Dog,"Loyal, Independent, Watchful",,55.88,60.96,22.6796185,43.09127515,10.0,14.0,Foundation Stock Service,,,,,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers,,,5,2,2,2.2,iconografia/razas/catahoula_leopard_dog.jpg,"Leal, independiente y vigilante. Es un trabajador nato con mucha energía. Con su familia es cariñoso pero necesita un dueño con experiencia."
Caucasian Shepherd Dog,"Fearless, Bold, Kind",,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.4,Calm,0.4,Independent,0.2,Aloof/Wary,3.0,4.0,2,2,1,2.0,iconografia/razas/caucasian_shepherd_dog.jpg,"Valiente, audaz y amable con los suyos. Es un guardián poderoso que necesita socialización temprana. Con su familia es muy leal y protector."
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",18,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.4,Calm,1.0,Eager to Please,0.8,Friendly,2.0,2.0,2,5,4,4.4,iconografia/razas/cavalier_king_charles_spaniel.jpg,"Cariñoso, gentil y elegante. Es el compañero perfecto para cualquier tipo de hogar. Adora las caricias y los momentos tranquilos tanto como los juegos."
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident",,64.77,69.85,39.91612856,49.895160700000005,,,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.4,Independent,0.2,Aloof/Wary,1.0,3.0,2,2,1,2.0,iconografia/razas/central_asian_shepherd_dog.jpg,"Independiente, valiente y seguro de sí mismo. Es un guardián nato que necesita espacio y un dueño con experiencia. Con su familia es leal y protector."
Cesky Terrier,"Clever, Adventurous, Family-Oriented",185,25.4,33.02,6.35029318,10.88621688,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,2.0,2.0,3,3,2,3.0,iconografia/razas/cesky_terrier.jpg,"Inteligente, aventurero y centrado en la familia. Menos intenso que otros terriers, es más tranquilo y adaptable. Con su familia es cariñoso y equilibrado."
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",45,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,3.0,4.0,4,3,2,2.8,iconografia/razas/chesapeake_bay_retriever.jpg,"Cariñoso, brillante y sensible. Es el retriever más independiente y necesita un entrenamiento constante. Con su familia es muy leal y protector."
Chihuahua,"Charming, Graceful, Sassy",33,12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,1.0,2.0,3,2,3,3.0,iconografia/razas/chihuahua.jpg,"Encantador, elegante y con mucho carácter. A pesar de su tamaño mínimo, tiene una personalidad enorme. Es muy leal a su dueño y puede ser bastante territorial."
Chinese Crested,"Affectionate, Alert, Lively",79,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,1.0,1.0,3,3,4,3.8,iconografia/razas/chinese_crested.jpg,"Cariñoso, alerta y lleno de vida. Existe en versión sin pelo y con pelo. Es muy apegado a su familia y necesita compañía constante para estar feliz."
Chinese Shar-Pei,"Loyal, Independent, Calm",64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers,1.0,4.0,3,1,2,2.2,iconografia/razas/chinese_shar_pei.jpg,"Leal, independiente y tranquilo. Es reservado con los desconocidos pero muy devoto con su familia. Necesita socialización temprana para estar equilibrado."
Chinook,"Smart, Patient, Devoted",190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,2.0,3.0,4,5,4,4.4,iconografia/razas/chinook.jpg,"Inteligente, paciente y devoto. Es un perro de trineo amigable y equilibrado. Con su familia es muy cariñoso y se lleva bien con los niños."
Chow Chow,"Dignified, Bright, Serious-Minded",75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers,3.0,3.0,3,1,2,2.2,iconografia/razas/chow_chow.jpg,"Digno, brillante y de carácter serio. Es independiente y no busca la aprobación constante. Con su familia íntima es leal y afectuoso aunque no lo demuestre siempre."
Cirneco dell’Etna,"Affectionate, Friendly, Independent",183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,1.0,1.0,3,3,3,3.4000000000000004,iconografia/razas/cirneco_dell'etna.jpg,"Cariñoso, amigable e independiente. Es un lebrel de caza siciliano ágil y resistente. Con su familia es dulce y juguetón aunque mantiene su instinto cazador."
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,2.0,4.0,3,3,2,3.0,iconografia/razas/clumber_spaniel.jpg,"Tranquilo, divertido y con mucha clase. Es el spaniel más calmado y no necesita tanto ejercicio como otros. Con su familia es muy cariñoso y leal."
Cocker Spaniel,"Gentle, Smart, Happy",30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing,4.0,2.0,3,5,5,5.0,iconografia/razas/cocker_spaniel.jpg,"Gentil, inteligente y feliz. Es uno de los perros de compañía más queridos. Adora a su familia y es muy sensible, necesita un trato amable y constante."
Collie,"Devoted, Graceful, Proud",38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,3.0,3.0,3,4,4,4.2,iconografia/razas/collie.jpg,"Devoto, elegante y orgulloso. Es el perro de Lassie: leal, inteligente y siempre atento a su familia. Aprende rápido y es excelente con los niños."
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky",81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing,4.0,2.0,3,4,5,4.6,iconografia/razas/coton_de_tulear.jpg,"Encantador, brillante y alegre. Es un compañero feliz que se adapta a cualquier estilo de vida. Adora la compañía y siempre está de buen humor."
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",,40.64,50.8,13.15417873,19.95806428,13.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers,1.0,2.0,5,5,2,3.4,iconografia/razas/croatian_sheepdog.jpg,"Leal, activo y alerta e inteligente. Es un pastor trabajador y versátil. Con su familia es cariñoso y siempre está pendiente de los suyos."
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart",162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,2.0,4,2,2,2.4000000000000004,iconografia/razas/curly_coated_retriever.jpg,"Seguro, orgulloso e increíblemente inteligente. Es el retriever más independiente y necesita estimulación mental constante. Con su familia es leal y afectuoso."
Czechoslovakian Vlcak,"Loyal, Intelligent, Active",,59.69,64.77,19.95806428,25.85476509,10.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.2,Aloof/Wary,2.0,5.0,5,1,1,1.4,iconografia/razas/czechoslovakian_vlcak.jpg,"Leal, inteligente y activo. Tiene aspecto de lobo y carácter de trabajador. Necesita mucho ejercicio y un dueño con experiencia que entienda su naturaleza."
Dachshund,"Friendly, Curious, Spunky",12,12.7,22.86,4.9895160700000005,14.51495584,12.0,16.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,2.0,2.0,3,3,3,3.4000000000000004,iconografia/razas/dachshund.jpg,"Amigable, curioso y con mucho carácter. Pequeño pero valiente, es terco y divertido. Adora a su familia y siempre encuentra la manera de hacerte reír."
Dalmatian,"Dignified, Smart, Outgoing",56,48.26,60.96,20.41165665,31.751465900000003,11.0,13.0,Non-Sporting Group,0.4,Weekly Brushing,1.0,Frequent,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,2.0,5.0,4,3,3,3.2,iconografia/razas/dalmatian.jpg,"Digno, inteligente y sociable. Es un perro activo y elegante que necesita mucho ejercicio. Con su familia es leal y muy cariñoso."
Dandie Dinmont Terrier,"Independent, Smart, Proud",176,20.32,27.94,8.164662660000001,10.88621688,12.0,15.0,Terrier Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,4.0,1.0,3,2,2,2.6,iconografia/razas/dandie_dinmont_terrier.jpg,"Independiente, inteligente y orgulloso. Es un terrier con mucha personalidad y dignidad. Con su familia es cariñoso aunque mantiene su carácter independiente."
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",,31.75,36.83,6.80388555,9.0718474,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,,0.6,,1.0,2.0,4,3,3,3.2,iconografia/razas/danish_swedish_farmdog.jpg,"Enérgico, entrenable y atento. Es un perro de granja versátil que se adapta bien a la vida familiar. Aprende rápido y siempre está dispuesto a participar."
Deutscher Wachtelhund,"Friendly, Versatile, Determined",,45.72,53.34,18.1436948,24.947580350000003,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,0.6,,0.6,,2.0,,3,3,3,3.4000000000000004,iconografia/razas/deutscher_wachtelhund.jpg,"Amigable, versátil y determinado. Es un perro de caza equilibrado que en casa es un compañero leal y tranquilo. Necesita ejercicio regular."
Doberman Pinscher,"Loyal, Fearless, Alert",17,60.96,71.12,27.2155422,45.359237,10.0,12.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.6,Alert/Responsive,1.0,4.0,5,5,3,3.8,iconografia/razas/doberman_pinscher.jpg,"Leal, valiente y alerta. Es un guardián inteligente y versátil que con su familia es muy cariñoso. Necesita ejercicio y entrenamiento constante."
Dogo Argentino,"Friendly, Cheerful, Humble",of,60.96,67.31,39.91612856,45.359237,9.0,15.0,Working Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,0.6,,0.6,,1.0,1.0,5,3,3,3.0000000000000004,iconografia/razas/dogo_argentino.jpg,"Amigable, alegre y con mucha energía. Es un cazador poderoso que con su familia es muy afectuoso. Necesita socialización temprana y un dueño con experiencia."
Dogue de Bordeaux,"Affectionate, Loyal, Courageous",67,58.42,66.04,44.905644630000005,49.895160700000005,5.0,8.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,1.0,4.0,3,3,3,3.4000000000000004,iconografia/razas/dogue_de_bordeaux.jpg,"Cariñoso, leal y valiente. Es un gigante tierno que adora a su familia. Necesita socialización temprana y ejercicio moderado para estar equilibrado."
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",,53.34,63.5,21.77243376,33.11224301,11.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,2.0,4.0,4,3,2,2.8,iconografia/razas/drentsche_patrijshond.jpg,"Leal, inteligente y sensible. Es un perro de caza equilibrado que en casa es un compañero afectuoso y tranquilo. Se adapta bien a la vida familiar."
Drever,"Loyal, Even-Tempered, Determined",,30.48,38.1,15.875732950000002,18.1436948,15.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive,1.0,2.0,3,1,3,2.6,iconografia/razas/drever.jpg,"Leal, equilibrado y determinado. Es un rastreador trabajador que en casa es un compañero tranquilo y afectuoso. Necesita ejercicio regular."
Dutch Shepherd,"Intelligent, Lively, Athletic",,54.61,62.23,19.05087954,34.01942775,11.0,14.0,Miscellaneous Class,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive,2.0,3.0,5,3,3,3.0000000000000004,iconografia/razas/dutch_sheperd.jpg,"Inteligente, ágil y atlético. Es un perro de trabajo versátil que necesita mucho ejercicio y estimulación. Con su familia es leal y muy protector."
English Cocker Spaniel,"Energetic, Merry, Responsive",52,38.1,43.18,11.79340162,15.42214058,12.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,3.0,2.0,3,5,4,4.6,iconografia/razas/english_cocker_spaniel.jpg,"Enérgico, alegre y muy receptivo. Es un spaniel activo y cariñoso que adora el ejercicio al aire libre. Con su familia es muy afectuoso."
English Foxhound,"Affectionate, Gentle, Sociable",188,60.96,60.96,27.2155422,34.01942775,10.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.8,Friendly,1.0,4.0,4,3,4,3.6000000000000005,iconografia/razas/english_foxhound.jpg,"Cariñoso, gentil y sociable. Es un rastreador enérgico que en compañía de personas y otros perros es feliz. Necesita mucho ejercicio."
English Setter,"Friendly, Mellow, Merry",94,58.42,68.58,20.41165665,36.2873896,12.0,12.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.8,Friendly,3.0,4.0,4,4,4,4.0,iconografia/razas/english_setter.jpg,"Amigable, tranquilo y alegre. Es un perro de caza elegante que en casa es un compañero dulce y relajado. Adora a su familia y a los niños."
English Springer Spaniel,"Friendly, Playful, Obedient",27,48.26,50.8,18.1436948,22.6796185,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,2.0,2.0,3,5,4,4.6,iconografia/razas/english_springer_spaniel.jpg,"Amigable, juguetón y obediente. Es uno de los spaniels más versátiles y activos. Con su familia es muy cariñoso y siempre está dispuesto a jugar."
English Toy Spaniel,"Gentle, Playful, Intelligent",135,22.86,25.4,3.62873896,6.35029318,10.0,12.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,3.0,3,2,3,3.0,iconografia/razas/english_toy_spaniel.jpg,"Gentil, juguetón e inteligente. Es un compañero refinado y tranquilo que adora los momentos de calma con su familia. Es muy afectuoso y leal."
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",157,40.64,53.34,18.1436948,29.48350405,11.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers,1.0,1.0,5,2,2,2.2,iconografia/razas/entlebucher_mountain_dog.jpg,"Leal, inteligente y entusiasta. Es el más pequeño de los perros de montaña suizos pero tiene toda la energía y el carácter de sus primos más grandes."
Estrela Mountain Dog,"Alert, Intelligent, Brave",,62.23,73.66,34.926612490000004,59.874192840000006,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,0.6,,0.6,,2.0,3.0,2,3,3,3.2,iconografia/razas/estrela_mountain_dog.jpg,"Alerta, inteligente y valiente. Es un guardián leal y serio que con su familia es muy cariñoso. Necesita espacio y un dueño con experiencia."
Eurasier,"Confident, Calm, Family-Oriented",,48.26,60.96,18.1436948,31.751465900000003,12.0,16.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,3.0,3.0,3,3,2,3.0,iconografia/razas/eurasier.jpg,"Seguro, tranquilo y centrado en la familia. Es un perro equilibrado que no es ni demasiado activo ni demasiado tranquilo. Con su familia es muy afectuoso."
Field Spaniel,"Sweet, Fun-Loving, Sensitive",149,43.18,45.72,15.875732950000002,22.6796185,12.0,13.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,2.0,4.0,3,3,2,3.0,iconografia/razas/field_spaniel.jpg,"Dulce, divertido y sensible. Es un spaniel activo y cariñoso que necesita ejercicio y estimulación. Con su familia es muy afectuoso y equilibrado."
Finnish Lapphund,"Friendly, Alert, Agile",161,40.64,53.34,14.968548210000002,24.04039561,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers,2.0,3.0,3,5,2,3.8,iconografia/razas/finnish_lapphund.jpg,"Amigable, alerta y ágil. Es un perro de pastoreo nórdico que se adapta bien a la vida familiar. Con los niños es paciente y con los adultos, leal."
Finnish Spitz,"Friendly, Good-Natured, Lively",184,39.37,50.8,9.0718474,14.968548210000002,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly,2.0,3.0,5,3,4,3.4000000000000004,iconografia/razas/finnish_spitz.jpg,"Amigable, de buen carácter y lleno de vida. Es el perro nacional de Finlandia: alerta, activo y muy expresivo. Con su familia es muy cariñoso."
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",91,55.88,62.23,27.2155422,31.751465900000003,8.0,10.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,2.0,4.0,5,5,4,4.2,iconografia/razas/flat_coated_retriever.jpg,"Alegre, optimista y siempre de buen humor. Es el eterno cachorro de los retrievers, lleno de energía y amor. Con su familia es muy afectuoso."
French Bulldog,"Adaptable, Playful, Smart",4,27.94,33.02,12.70058636,12.70058636,10.0,12.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.4,Calm,0.6,Agreeable,0.6,Alert/Responsive,1.0,4.0,2,3,3,3.2,iconografia/razas/french_bulldog.jpg,"Adaptable, juguetón e inteligente. Es el compañero urbano por excelencia. No necesita mucho ejercicio pero sí mucha compañía y atención."
French Spaniel,"Gentle, Sociable, Intelligent",,54.61,60.96,22.6796185,27.2155422,10.0,12.0,Foundation Stock Service,,,,,0.6,,0.6,,0.6,,,,3,3,3,3.4000000000000004,iconografia/razas/french_spaniel.jpg,"Gentil, sociable e inteligente. Es un spaniel equilibrado y cariñoso que se adapta bien a la vida familiar. Aprende rápido y es muy afectuoso."
German Longhaired Pointer,"Versatile, Calm, Family-Oriented",,55.88,71.12,24.947580350000003,36.2873896,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,1.0,,4,5,4,4.4,iconografia/razas/german_longhaired_pointer.jpg,"Versátil, tranquilo y centrado en la familia. Es un perro de caza equilibrado que en casa es un compañero cariñoso y adaptable."
German Pinscher,"Courageous, Intelligent, Vivacious",134,43.18,50.8,11.33980925,20.41165665,12.0,14.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive,1.0,2.0,5,3,3,3.0000000000000004,iconografia/razas/german_pinscher.jpg,"Valiente, inteligente y lleno de vida. Es un guardián activo y versátil que necesita ejercicio y estimulación mental. Con su familia es muy leal."
German Shepherd Dog,"Confident, Courageous, Smart",2,55.88,66.04,22.6796185,40.8233133,7.0,10.0,Herding Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,2.0,4.0,3,5,3,4.2,iconografia/razas/german_shepherd_dog.jpg,"Seguro, valiente e inteligente. Es uno de los perros más versátiles del mundo. Leal y protector con su familia, necesita ejercicio y entrenamiento constante."
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",9,53.34,63.5,20.41165665,31.751465900000003,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,2.0,4.0,5,5,4,4.2,iconografia/razas/german_shorthaired_pointer.jpg,"Amigable, inteligente y dispuesto a complacer. Es un perro de caza muy activo que necesita ejercicio intenso. Con su familia es muy cariñoso."
German Spitz,"Devoted, Lively, Attentive",,30.48,38.1,10.88621688,11.79340162,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers,3.0,3.0,3,5,2,3.8,iconografia/razas/german_spitz.gif,"Devoto, lleno de vida y atento. Es un perro de compañía activo y expresivo que adora a su familia. Aprende rápido y es muy alerta."
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",63,55.88,66.04,22.6796185,31.751465900000003,14.0,16.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers,2.0,4.0,5,5,2,3.4,iconografia/razas/german_wirehaired_pointer.jpg,"Cariñoso, entusiasta y lleno de energía. Es un perro de caza versátil que en casa es un compañero afectuoso. Necesita mucho ejercicio."
Giant Schnauzer,"Loyal, Alert, Trainable",78,59.69,69.85,24.947580350000003,38.55535145,12.0,15.0,Working Group,0.8,Daily Brushing,,,1.0,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive,4.0,,5,4,3,3.4000000000000004,iconografia/razas/giant_schnauzer.jpg,"Leal, alerta y entrenable. Es el más grande de los schnauzers y tiene toda su inteligencia y carácter. Necesita ejercicio intenso y entrenamiento constante."
Glen of Imaal Terrier,"Gentle, Spirited, Bold",174,31.75,35.56,14.51495584,18.1436948,10.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,2.0,3,2,3,3.0,iconografia/razas/glen_of_imaal_terrier.jpg,"Gentil, lleno de carácter y valiente. Es un terrier tranquilo comparado con otros de su grupo. Con su familia es cariñoso y leal."
Golden Retriever,"Friendly, Intelligent, Devoted",3,54.61,60.96,24.947580350000003,34.01942775,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,2.0,3.0,5,5,4,4.2,iconografia/razas/golden_retriever.jpg,"Amigable, inteligente y devoto. Es el perro de familia por excelencia: paciente, cariñoso y siempre de buen humor. Adora a los niños y a todo el mundo."
Gordon Setter,"Affectionate, Confident, Bold",115,58.42,68.58,20.41165665,36.2873896,12.0,13.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,5,2,2,2.2,iconografia/razas/gordon_setter.jpg,"Cariñoso, seguro y audaz. Es el más serio de los setters pero también el más leal. Con su familia es muy afectuoso y necesita ejercicio regular."
Grand Basset Griffon Vendéen,"Independent, Happy, Outgoing",177,39.37,45.72,18.1436948,20.41165665,13.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.8,Friendly,2.0,3.0,5,2,4,3.0000000000000004,iconografia/razas/grand_basset_griffon_vendeen.jpg,"Independiente, feliz y sociable. Es un rastreador activo y alegre que en casa es un compañero divertido. Necesita ejercicio y estimulación."
