criatura_id,universo_id,nombre,calma,vinculo,estimulacion,independencia,raza_real_id,explicacion_equivalencia,descripcion,url_imagen
61,3,Clefairy,4,4,2,2,Papillon,Amigable y alegre. Alerta y necesita compañía cercana. Tranquilo y afectuoso.,"El Pokémon hada con apariencia de estrella rosa que originalmente iba a ser la mascota de la franquicia antes de que Pikachu tomara ese lugar. Tímido y nocturno, se reúne en grupos bajo la luna llena en lugares especiales.",https://static.wikia.nocookie.net/pokemon/images/b/b7/0035Clefairy.png/revision/latest?cb=20260203100142
62,3,Clefable,4,3,2,3,Collie,Devoto y gracioso. Amable y equilibrado. Vínculo sólido sin ser dependiente.,"La evolución de Clefairy, tan tímida que casi nunca se deja ver por humanos. Tiene una sensibilidad extraordinaria al sonido y se mueve tan suavemente que parece flotar.",https://static.wikia.nocookie.net/pokemon/images/a/a4/0036Clefable.png/revision/latest?cb=20260203100149
63,3,Vulpix,4,3,2,3,Japanese Chin,Noble y encantador. Reservado con extraños. Sensible y elegante.,"El zorro Pokémon de seis colas de tipo Fuego, elegante y algo frío con los desconocidos pero profundamente leal con quien gana su confianza. Sus colas se multiplican con la edad. La Vulpix de Brock es uno de los Pokémon más queridos del anime clásico.",https://static.wikia.nocookie.net/pokemon/images/0/06/0037Vulpix.png/revision/latest?cb=20260203100329
64,3,Ninetales,5,2,1,5,Shetland Sheepdog,Muy calmado e inteligente. Muy independiente y reservado. Difícil de vincular.,"La evolución de Vulpix, una criatura de nueve colas con una vida extraordinariamente larga y se dice que guarda rencor durante cien años a quien le toque una cola sin permiso. Majestuosa y misteriosa.",https://static.wikia.nocookie.net/pokemon/images/3/3e/0038Ninetales.png/revision/latest/scale-to-width-down/600?cb=20260203100338
65,3,Jigglypuff,4,4,2,2,Bichon Frise,Juguetón y curioso. Muy sociable y necesita atención. Tranquilo y encantador.,"El Pokémon globo de tipo Normal/Hada famoso por su canto que hace dormir a todos los que lo escuchan, incluyendo al que lo canta. En el anime, el Jigglypuff recurrente reacciona a su audiencia dormida pintándoles la cara con su micrófono-rotulador en lo que es probablemente el gag más repetido de la serie clásica.",https://static.wikia.nocookie.net/pokemon/images/3/3a/0039Jigglypuff.png/revision/latest?cb=20260203100343
66,3,Wigglytuff,4,4,2,2,Maltese,Gentil y encantador. Muy sociable y necesita compañía. Afectuoso y tranquilo.,"La evolución de Jigglypuff mediante piedra lunar, con un cuerpo más redondeado y una voz aún más poderosa. Su pelaje es tan suave que se dice que quien lo toca no puede parar de acariciarlo.",https://static.wikia.nocookie.net/pokemon/images/e/e2/0040Wigglytuff.png/revision/latest?cb=20260203102032
67,3,Diglett,3,3,3,4,Dachshund,Curioso y espabilado. Independiente y con carácter propio. Activo a su manera.,"El Pokémon topo que vive siempre bajo tierra y del que nunca se ha visto la parte inferior del cuerpo, lo que ha generado décadas de teorías entre los fans. Aparece en grupos y puede generar terremotos con sus movimientos subterráneos.",https://static.wikia.nocookie.net/pokemon/images/a/a6/0050Diglett.png/revision/latest/scale-to-width-down/600?cb=20260203103410
68,3,Dugtrio,3,3,3,4,Australian Cattle Dog,Alerta y curioso. Independiente y muy activo. Difícil sin dirección clara.,"Tres Diglett juntos que actúan como una sola unidad, capaces de excavar a velocidades extraordinarias. Nadie sabe si son tres criaturas independientes o una sola con tres cabezas.",https://static.wikia.nocookie.net/pokemon/images/b/b7/0051ADugtrio.png/revision/latest/scale-to-width-down/600?cb=20260203104207
69,3,Meowth,3,2,3,4,Basenji,Independiente e inteligente. Reservado y hace lo que quiere. Leal a su manera.,"El gato Pokémon de tipo Normal con una moneda en la frente que representa su obsesión con los objetos brillantes. El Meowth del Equipo Rocket es el único Pokémon de la serie que habla el idioma humano, algo que aprendió solo por amor a una Meowth que prefería a los humanos.",https://static.wikia.nocookie.net/pokemon/images/d/d6/0052Meowth.png/revision/latest?cb=20260203103425
70,3,Persian,4,2,2,5,Scottish Terrier,Confiado e independiente. Digno y distante. Poco afectuoso con extraños.,"La evolución de Meowth, el Pokémon favorito de Giovanni, el jefe del Team Rocket. Elegante, arrogante y con una joya roja en la frente. El Meowth del Team Rocket rechazó evolucionar a Persian porque hacerlo significaría perder la capacidad de hablar.",https://static.wikia.nocookie.net/pokemon/images/b/b0/0053Persian.png/revision/latest?cb=20260203103430
71,3,Psyduck,3,3,3,2,Pug,Encantador y travieso. Necesita apoyo y guía. Algo torpe pero muy afectuoso.,"El pato Pokémon con un dolor de cabeza permanente que, cuando la presión llega al límite, desata poderes psíquicos que él mismo no puede controlar ni recordar. El Psyduck de Misty es el acompañante más inadecuado posible para casi cualquier situación, lo que lo convierte en uno de los más divertidos.",https://static.wikia.nocookie.net/pokemon/images/6/62/Misty_Psyduck_anime.png/revision/latest/scale-to-width-down/600?cb=20230121012312
72,3,Golduck,4,3,2,3,Cocker Spaniel,Gentil e inteligente. Equilibrado y agradable. Amigable y fiable.,"La evolución de Psyduck, un ser ágil y poderoso en el agua que no sufre los dolores de cabeza de su forma anterior. La joya de su frente brilla cuando usa sus poderes psíquicos con pleno control.",https://static.wikia.nocookie.net/pokemon/images/e/ed/0055Golduck.png/revision/latest/scale-to-width-down/600?cb=20260203105541
73,3,Primeape,1,2,5,3,Staffordshire Bull Terrier,Valiente y tenaz. Muy activo y difícil de manejar. Necesita guía firme.,"El mono Pokémon en perpetuo estado de furia, que ataca a todo lo que ve con una intensidad que no disminuye aunque gane la pelea. Ash capturó uno que terminó convirtiéndose en campeón de boxeo Pokémon.",https://static.wikia.nocookie.net/pokemon/images/2/2c/0057Primeape.png/revision/latest?cb=20260203110036
74,3,Growlithe,3,5,3,1,Golden Retriever,Amigable y devoto. Inteligente y necesita vínculo total. Leal por encima de todo.,"El cachorro Pokémon de tipo Fuego, leal, valiente y protector con su familia hasta el extremo. Se usa como Pokémon policial en muchas regiones y tiene un instinto de guardia que lo hace extremadamente fiable.",https://static.wikia.nocookie.net/pokemon/images/6/6a/0058Growlithe.png/revision/latest?cb=20260203110228
75,3,Arcanine,3,5,4,2,Labrador Retriever,Amigable y muy activo. Sociable y devoto. Necesita vínculo y ejercicio constante.,"La evolución de Growlithe mediante piedra fuego, uno de los Pokémon más majestuosos de la primera generación. Su velocidad es legendaria y su melena parece moverse con el viento incluso cuando está quieto.",https://static.wikia.nocookie.net/pokemon/images/4/42/0059Arcanine.png/revision/latest?cb=20260203110234
76,3,Abra,4,2,2,5,Sloughi,Reservado y sereno. Noble e independiente. Muy difícil de conectar. Esquivo por naturaleza.,El Pokémon que duerme veinte horas al día y que cuando se siente en peligro se teleporta instantáneamente antes de que nadie pueda reaccionar. Capturarlo es casi imposible sin una Poké Ball ya lanzada. Sus poderes psíquicos operan incluso mientras duerme.,https://static.wikia.nocookie.net/pokemon/images/b/bd/0063Abra.png/revision/latest?cb=20260203110341
77,3,Kadabra,3,2,3,4,Tibetan Spaniel,Inteligente y seguro de sí mismo. Reservado e independiente. Va a lo suyo.,"La evolución de Abra, con una cuchara que amplifica sus poderes psíquicos. Emite ondas alfa intensas que provocan dolor de cabeza a quienes están cerca. Una leyenda dice que Kadabra era humano antes de transformarse.",https://static.wikia.nocookie.net/pokemon/images/a/af/0064Kadabra.png/revision/latest?cb=20260203111536
78,3,Alakazam,3,2,3,5,Border Collie,Inteligentísimo y reservado. Muy independiente. Necesita estimulación mental constante.,"La forma final de Abra, con un cerebro que crece continuamente y un coeficiente intelectual que se dice supera los cinco mil. Usa dos cucharas para canalizar sus poderes. Es uno de los Pokémon más poderosos de la primera generación.",https://static.wikia.nocookie.net/pokemon/images/b/bb/0065Alakazam.png/revision/latest?cb=20260203111543
79,3,Victreebel,2,2,4,4,Bloodhound,Independiente e inquisitivo. Sigue su propio instinto. Difícil de redirigir.,"La planta carnívora Pokémon que digiere todo lo que cae en su interior con ácido. El Victreebel de James del Equipo Rocket tiene la costumbre de intentar tragarse a su propio entrenador cada vez que sale de su Poké Ball, en lo que es uno de los gags más constantes de la serie.",https://static.wikia.nocookie.net/pokemon/images/e/e9/0071Victreebel.png/revision/latest?cb=20260203111851
80,3,Ponyta,4,3,3,3,Irish Setter,Activo y dulce. Amigable y energético pero manejable. Necesita espacio y movimiento.,El potro Pokémon de llamas que nace con el fuego apagado y lo desarrolla corriendo junto a sus padres. Sus crines y cola de fuego no queman a quienes considera amigos. Elegante y veloz.,https://static.wikia.nocookie.net/pokemon/images/c/c0/0077Ponyta.png/revision/latest?cb=20260203112335
81,3,Rapidash,3,3,4,4,Weimaraner,Veloz e intrépido. Necesita espacio y actividad. Obediente con vínculo sólido.,"La evolución de Ponyta, uno de los Pokémon más rápidos de Kanto, capaz de alcanzar los doscientos cuarenta kilómetros por hora al galope. Su cuerpo entero arde pero sus llamas no dañan el suelo que pisa.",https://static.wikia.nocookie.net/pokemon/images/a/a9/0078Rapidash.png/revision/latest?cb=20260203112342
82,3,Slowpoke,5,3,1,3,Clumber Spaniel,Muy tranquilo y pausado. Amable y sin prisa. Equilibrado y fácil de llevar.,"El Pokémon más lento de Kanto, que tarda varios segundos en sentir dolor y varios más en reaccionar a cualquier estímulo. Come con la cola sumergida en el agua y su cola regenera si se la cortan. Su expresión permanentemente ausente lo ha convertido en un símbolo cultural de la indiferencia tranquila.",https://static.wikia.nocookie.net/pokemon/images/1/19/0079Slowpoke.png/revision/latest?cb=20260203113326
83,3,Slowbro,5,3,1,3,Sussex Spaniel,Calmado y equilibrado. Reservado y sin urgencia. Tranquilo y poco demandante.,"La evolución de Slowpoke cuando un Shellder muerde su cola y no la suelta. El Shellder le inyecta toxinas que en realidad lo hacen más inteligente aunque siga pareciendo igual de absorto. Si el Shellder se cae, Slowbro vuelve a ser Slowpoke.",https://static.wikia.nocookie.net/pokemon/images/a/a3/0080Slowbro.png/revision/latest?cb=20260203113330
84,3,Farfetch'd,3,3,3,4,Canaan Dog,Alerta y vigilante. Independiente y peculiar. Va a lo suyo con carácter propio.,El pato Pokémon que siempre lleva un tallo de cebolleta que usa como arma y que jamás suelta. La cebolleta es tan valiosa para él que se volvió casi extinto porque los humanos lo cazaban para comérselo con la misma cebolleta. En Galar evolucionó en una forma regional más combativa.,https://static.wikia.nocookie.net/pokemon/images/9/99/0083Farfetch%27d.png/revision/latest?cb=20260203113354
85,3,Muk,3,3,3,3,Neapolitan Mastiff,Leal y digno. Reservado e imponente. Va a lo suyo sin necesitar atención constante.,La masa de veneno Pokémon que se formó cuando la basura de las ciudades se contaminó con energía misteriosa. Su cuerpo absorbe todo lo que toca y lo pudre. El Muk de Ash es afectuosamente aplastante con su entrenador.,https://static.wikia.nocookie.net/pokemon/images/4/41/0089Muk.png/revision/latest?cb=20260203115719
86,3,Gastly,3,2,3,4,Xoloitzcuintli,Leal pero misterioso. Alerta e independiente. Reservado y difícil de leer.,El gas Pokémon de tipo Fantasma/Veneno formado por vapores tóxicos concentrados. Puede rodear a cualquier criatura con su niebla y hacerla perder el conocimiento. Vive en casas abandonadas y cementerios.,https://static.wikia.nocookie.net/pokemon/images/c/c2/0092Gastly.png/revision/latest?cb=20260203120226
87,3,Haunter,2,3,4,3,Bull Terrier,Travieso y encantador. Juguetón pero impredecible. Necesita guía con humor.,"La evolución de Gastly, capaz de atravesar paredes y con unas manos desconectadas de su cuerpo que lame para paralizar a sus víctimas. El Haunter de Sabrina en el anime es uno de los personajes secundarios más queridos de la serie clásica.",https://static.wikia.nocookie.net/pokemon/images/d/d1/0093Haunter.png/revision/latest?cb=20260203120230
88,3,Gengar,2,3,4,3,Dalmatian,Inteligente y travieso. Muy activo y con personalidad fuerte. Necesita dirección clara.,"La sombra Pokémon, la forma final de Gastly y uno de los más icónicos de la primera generación. Se esconde en las sombras y baja la temperatura de la habitación varios grados cuando aparece. Su sonrisa permanente es una de las imágenes más reconocibles de la franquicia.",https://static.wikia.nocookie.net/pokemon/images/4/47/0094Gengar.png/revision/latest?cb=20260203120236
89,3,Onix,3,3,3,4,Tibetan Mastiff,Independiente y reservado. Imponente y difícil de manejar sin confianza mutua.,"La serpiente de roca Pokémon, una de las más grandes de Kanto, formada por esferas de roca unidas. El líder del gimnasio de Ciudad Plateada, Brock, usa uno como su Pokémon principal. Su cuerpo se vuelve más suave con los años de rascarse contra las paredes de las cavernas.",https://static.wikia.nocookie.net/pokemon/images/b/b7/0095Onix.png/revision/latest?cb=20260203120244
90,3,Krabby,2,2,4,4,Kai Ken,Ágil y leal a los suyos. Reservado con extraños y con carácter fuerte.,"El cangrejo Pokémon con una pinza más grande que la otra que usa para comunicarse y atacar. Si pierde una pinza, le crece una nueva más grande que la anterior. El Krabby de Ash fue uno de sus primeras capturas fuera de Kanto.",https://static.wikia.nocookie.net/pokemon/images/e/ed/0098Krabby.png/revision/latest?cb=20260203120517
91,3,Cubone,4,3,2,3,Kuvasz,Leal y valiente. Dulce pero reservado con extraños. Necesita tiempo para confiar.,El Pokémon huérfano que lleva el cráneo de su madre muerta como casco y llora todas las noches mirando la luna donde cree verla. Es uno de los Pokémon con la historia de fondo más oscura de toda la primera generación y un favorito entre los fans precisamente por eso.,https://static.wikia.nocookie.net/pokemon/images/1/19/0104Cubone.png/revision/latest?cb=20260203120914
92,3,Marowak,3,3,3,4,Komondor,Leal y digno. Valiente e independiente. Protector de los suyos a su manera.,"La evolución de Cubone, que ha aceptado su pérdida y transformado el duelo en fuerza. El hueso que lanza es una extensión de sí mismo que siempre vuelve. El fantasma de la madre Marowak en la Torre Pokémon es uno de los momentos más perturbadores de los juegos originales.",https://static.wikia.nocookie.net/pokemon/images/a/a1/0105Marowak.png/revision/latest?cb=20260203121523
93,3,Koffing,3,3,3,3,Boerboel,Tranquilo y confiado. Inteligente y calmado. Sin necesidades extremas.,La bola de gas venenoso que flota en el aire liberando gases tóxicos constantemente. El Koffing de James del Equipo Rocket es uno de los Pokémon más asociados a los villanos de la serie y tiene un vínculo afectuoso con su entrenador que el anime explora brevemente.,https://static.wikia.nocookie.net/pokemon/images/1/16/0109Koffing.png/revision/latest?cb=20260203122322
94,3,Weezing,3,3,3,3,Caucasian Shepherd Dog,Imponente y reservado. Independiente y va a lo suyo. Difícil de manejar sin respeto.,"La evolución de Koffing, con dos cuerpos unidos y gases aún más potentes. Cuando los dos cuerpos se separan temporalmente, liberan una niebla venenosa especialmente densa.",https://static.wikia.nocookie.net/pokemon/images/7/72/0110Weezing.png/revision/latest?cb=20260203122111
95,3,Chansey,5,5,1,1,Newfoundland,Dulce y paciente. Devoto y vive para cuidar a otros. Muy tranquilo y necesita vínculo total.,El Pokémon de la suerte que lleva un huevo nutritivo en su bolsa y lo comparte con los enfermos y heridos. Es la Pokémon preferida de las enfermeras Joy en todos los centros Pokémon. Extraordinariamente difícil de capturar en los juegos originales.,https://static.wikia.nocookie.net/pokemon/images/c/c0/0113Chansey.png/revision/latest?cb=20260203122516
96,3,Kangaskhan,4,5,2,2,Bernese Mountain Dog,Calmado y muy protector. Familiar y fiel a los suyos. Necesita vínculo fuerte.,"La madre Pokémon que lleva a su cría en el marsupio y la defiende con una ferocidad que no tiene parangón. La cría nunca abandona el marsupio hasta que es adulta. En Mega Evolución, la cría sale a pelear junto a su madre.",https://static.wikia.nocookie.net/pokemon/images/e/e5/0115Kangaskhan.png/revision/latest?cb=20260203151038
97,3,Horsea,4,3,2,3,Cavalier King Charles Spaniel,Afectuoso y gentil. Gracioso y necesita vínculo cercano. Tranquilo y sensible.,El caballito de mar Pokémon que nada en espiral y ataca con chorros de tinta para oscurecer el agua y escapar. Misty tiene uno en el anime y es uno de sus Pokémon acuáticos favoritos.,https://static.wikia.nocookie.net/pokemon/images/1/14/0116Horsea.png/revision/latest?cb=20260203151048
98,3,Goldeen,4,3,2,3,Norwegian Elkhound,Amigable y confiado. Fiable y equilibrado. Fácil de llevar y estable.,El pez dorado Pokémon con un cuerno en la frente que usa para atacar a depredadores. Nada elegantemente contra la corriente y es conocido como la bailarina de los ríos.,https://static.wikia.nocookie.net/pokemon/images/b/b6/0118Goldeen.png/revision/latest?cb=20260203151125
99,3,Staryu,3,2,3,5,Rhodesian Ridgeback,Digno y muy independiente. Equilibrado y reservado. No necesita atención constante.,La estrella de mar Pokémon con un núcleo rojo que brilla de noche. Puede regenerar cualquier parte de su cuerpo siempre que el núcleo permanezca intacto. Misty lo usa en el anime y es uno de sus Pokémon más versátiles.,https://static.wikia.nocookie.net/pokemon/images/3/38/0120Staryu.png/revision/latest?cb=20260203151127
100,3,Mr. Mime,3,3,3,3,Poodle (Standard),Inteligente y orgulloso. Expresivo y con personalidad marcada. Adaptable y listo.,El Pokémon mimo que puede hacer paredes invisibles tan reales que nadie puede atravesarlas. Su actuación es convincente hasta el punto de que las ilusiones que crea tienen efectos físicos reales. El Mr. Mime de la madre de Ash vive en su casa y hace las tareas del hogar.,https://static.wikia.nocookie.net/pokemon/images/f/fb/0122Mr._Mime.png/revision/latest?cb=20260203151846
101,3,Scyther,2,2,4,4,Irish Water Spaniel,Valiente y trabajador. Reservado y muy activo. Necesita propósito claro.,"La mantis Pokémon con hojas de acero en lugar de manos, capaz de cortar casi cualquier cosa con ellas. Vive en manadas con una jerarquía estricta y es uno de los Pokémon más difíciles de capturar en los juegos originales.",https://static.wikia.nocookie.net/pokemon/images/8/81/0123Scyther.png/revision/latest?cb=20260203151848
102,3,Tauros,2,2,5,4,Cane Corso,Imponente y majestuoso. Muy activo y difícil de manejar. Necesita guía firme.,El toro salvaje Pokémon que carga a toda velocidad contra todo lo que se mueve para medir su fuerza. Ash capturó treinta en la Reserva Natural de la Jungla en un episodio que en muchas regiones fue censurado.,https://static.wikia.nocookie.net/pokemon/images/a/ad/0128Tauros.png/revision/latest?cb=20260203152151
103,3,Magikarp,4,3,2,3,Saint Bernard,Aparentemente torpe pero paciente y con gran potencial. Amable y sin pretensiones.,"El Pokémon más inútil de la primera generación que solo sabe usar Salpicadura, un movimiento que no hace casi ningún daño. Su evolución en Gyarados es el ejemplo más famoso de la franquicia sobre la transformación radical. James del Equipo Rocket compró uno a precio de oro a un vendedor estafador.",https://static.wikia.nocookie.net/pokemon/images/e/e5/Goh_Magikarp.png/revision/latest/scale-to-width-down/600?cb=20200622002446
104,3,Gyarados,1,2,5,5,Bullmastiff,Imponente y valiente. Muy difícil de controlar. Leal solo con vínculo muy sólido.,"La evolución de Magikarp, un dragón marino de tipo Agua/Volador con una agresividad legendaria que destruye ciudades enteras cuando se enfurece. Su transformación desde Magikarp es la más dramática de toda la primera generación.",https://static.wikia.nocookie.net/pokemon/images/b/ba/0130MGyarados.png/revision/latest?cb=20260203152456
105,3,Lapras,5,4,1,2,Leonberger,Gentil y amigable. Muy tranquilo y apegado a su familia. Noble y fácil de llevar.,El transporte Pokémon con apariencia de plesiosaurio que lleva personas en su lomo a través del mar. Tiene una inteligencia elevada y un canto melancólico. La especie casi fue extinguida por la caza excesiva. El Lapras de Ash en las Islas Naranja es uno de los lazos más tiernos del anime.,https://static.wikia.nocookie.net/pokemon/images/9/99/0131Lapras.png/revision/latest?cb=20240724204539
106,3,Ditto,3,3,3,3,Havanese,Adaptable e inteligente. Gracioso y se amolda a cualquier situación. Equilibrado.,El Pokémon transformación que puede copiarse en cualquier otra criatura replicando su ADN. Su cara de Ditto original siempre se transparenta un poco en la transformación. Es clave para la cría Pokémon porque puede aparearse con cualquier especie.,https://static.wikia.nocookie.net/pokemon/images/2/25/0132Ditto.png/revision/latest?cb=20260203152542
107,3,Eevee,3,4,3,2,Icelandic Sheepdog,Amigable y juguetón. Curioso y necesita vínculo cercano. Muy adaptable.,"El Pokémon evolución con el mayor número de formas posibles de toda la primera generación, cada una determinada por una piedra elemental, amistad o condiciones especiales. Su cuerpo contiene un ADN inestable que reacciona de formas diferentes según el entorno.",https://static.wikia.nocookie.net/pokemon/images/1/1f/0133PEevee.png/revision/latest/scale-to-width-down/600?cb=20260203153649
108,3,Vaporeon,4,4,2,2,Portuguese Water Dog,Afectuoso y atlético. Aventurero y muy ligado a su entrenador. Activo pero calmado.,La evolución acuática de Eevee mediante piedra agua. Puede deshacer su cuerpo en agua y hacerse invisible en ríos y mares. Su pelaje brilla como el agua bajo la luz.,https://static.wikia.nocookie.net/pokemon/images/6/6d/0134Vaporeon.png/revision/latest?cb=20260203154515
109,3,Jolteon,2,3,5,3,Giant Schnauzer,Leal y muy alerta. Muy activo y con carácter fuerte. Necesita actividad constante.,La evolución eléctrica de Eevee mediante piedra trueno. Sus pelos son agujas conductoras que puede disparar cuando está excitado o asustado. Es el más rápido de las eeveeluciones clásicas.,https://static.wikia.nocookie.net/pokemon/images/e/e3/0135Jolteon.png/revision/latest?cb=20260203154516
110,3,Flareon,3,3,4,3,Soft Coated Wheaten Terrier,Amigable y devoto. Activo y con carácter marcado. Necesita movimiento y vínculo.,La evolución ígnea de Eevee mediante piedra fuego. Su cuerpo almacena calor a más de novecientos grados en un saco especial. Su pelaje esponjoso actúa como aislante.,https://static.wikia.nocookie.net/pokemon/images/f/f1/0136Flareon.png/revision/latest?cb=20260203154518
111,3,Porygon,3,2,3,4,Miniature Schnauzer,Inteligente y obediente. Alerta y poco emocional. Independiente y metódico.,"El primer Pokémon creado artificialmente por código informático, diseñado para operar en el ciberespacio. El episodio del anime en que apareció fue el más controvertido de la historia de la franquicia por provocar convulsiones en espectadores reales.",https://static.wikia.nocookie.net/pokemon/images/8/8e/0137Porygon.png/revision/latest?cb=20260203154519
112,3,Snorlax,5,3,1,4,Great Pyrenees,Muy calmado y paciente. Independiente y difícil de motivar. Va a su ritmo.,El Pokémon dormilón que puede pesar cuatrocientos kilos y que duerme casi todo el día después de comer su peso en comida. Bloquea caminos enteros con su cuerpo y solo se despierta con la flauta de Jigglypuff. Es uno de los Pokémon más queridos de la primera generación.,https://static.wikia.nocookie.net/pokemon/images/3/3f/0143Snorlax.png/revision/latest/scale-to-width-down/600?cb=20260203155155
113,3,Dratini,4,3,2,3,Eurasier,Calmado y familiar. Reservado con extraños y equilibrado. Vínculo moderado y estable.,"El dragón Pokémon en su forma más joven, largo y serpenteante, que muda su piel varias veces al año a medida que crece. Vive en el fondo de los ríos y es extraordinariamente difícil de encontrar.",https://static.wikia.nocookie.net/pokemon/images/a/ae/0147Dratini.png/revision/latest?cb=20260203160228
114,3,Dragonair,4,3,2,4,Finnish Lapphund,Ágil y alerta. Reservado y elegante. Independiente pero leal a los suyos.,"La evolución de Dratini, un dragón serpentino con cristales azules en el cuello y la cola que se dice controlan el clima. Los que lo ven describen una sensación de presencia sagrada.",https://static.wikia.nocookie.net/pokemon/images/0/0d/0148Dragonair.png/revision/latest?cb=20260203160230
115,3,Dragonite,4,4,3,3,Newfoundland,Dulce y paciente. Devoto e imponente pero de corazón noble. Protector y amigable.,"La forma final de Dratini, el primer pseudolegendario de la franquicia. A pesar de su aspecto físico radicalmente diferente a sus formas previas, tiene un temperamento bondadoso y se dice que rescata marineros en peligro. Uno de los Pokémon más poderosos de Kanto.",https://static.wikia.nocookie.net/pokemon/images/1/1c/0149Dragonite.png/revision/latest?cb=20260203160231
116,3,Espeon,4,3,2,4,Belgian Tervuren,Inteligente y elegante. Alerta y reservado con extraños. Intuitivo y va a lo suyo.,"La evolución psíquica de Eevee por amistad durante el día. Sus pelos captan las corrientes de aire y los cambios del entorno, lo que le da una capacidad casi profética para anticipar los movimientos del oponente.",https://static.wikia.nocookie.net/pokemon/images/6/67/0196Espeon.png/revision/latest?cb=20260207051436
117,3,Umbreon,4,4,2,3,Chesapeake Bay Retriever,Leal y protector. Reservado y sensible. Difícil de ganar pero fiel para siempre.,La evolución oscura de Eevee por amistad durante la noche. Sus anillos amarillos brillan en la oscuridad y segregan un sudor tóxico cuando se siente amenazado. Es uno de los diseños más elegantes de la segunda generación.,https://static.wikia.nocookie.net/pokemon/images/e/e1/0197Umbreon.png/revision/latest?cb=20260207051613
118,3,Leafeon,5,3,1,4,Irish Wolfhound,Sereno y digno. Tranquilo e independiente. Conectado a su entorno natural.,"La evolución de tipo Planta de Eevee, obtenida cerca de una roca musgo. Su cuerpo realiza fotosíntesis y el aire a su alrededor siempre está limpio. Sus hojas son tan afiladas como cuchillas.",https://static.wikia.nocookie.net/pokemon/images/8/80/0470Leafeon.png/revision/latest?cb=20260223061351
119,3,Glaceon,5,2,1,5,Saluki,Gentil pero muy distante. Muy independiente y digno. Difícil de vincular por naturaleza.,"La evolución de tipo Hielo de Eevee, obtenida cerca de una roca hielo. Puede bajar la temperatura de su entorno varios grados y crear cristales de hielo perfectos con su aliento.",https://static.wikia.nocookie.net/pokemon/images/9/91/0471Glaceon.png/revision/latest?cb=20260223061353
120,3,Sylveon,5,5,1,1,Coton de Tulear,Encantador y alegre. Muy afectuoso y necesita vínculo total. Vive para estar con los suyos.,"La evolución de tipo Hada de Eevee, obtenida con alto vínculo afectivo y conociendo un movimiento de tipo Hada. Sus cintas de pelo actúan como sensores emocionales y las envuelve alrededor del brazo de su entrenador para sentir su estado de ánimo.",https://static.wikia.nocookie.net/pokemon/images/d/d0/0700Sylveon.png/revision/latest/scale-to-width-down/600?cb=20260227162344
121,4,Totoro grande,5,4,1,4,Gran Danés,Imponente pero dulce y paciente. Protector y tranquilo. Aparece cuando se necesita.,El espíritu del bosque enorme y gris que solo pueden ver los niños con el corazón abierto. Duerme la mayor parte del tiempo en el hueco de un árbol gigante y aparece en la parada del autobús bajo la lluvia con una sonrisa serena. Su rugido hace crecer los árboles en segundos.,https://static.wikia.nocookie.net/studio-ghibli/images/d/df/Totoro_in_the_rain.png/revision/latest/scale-to-width-down/421?cb=20200831205004
122,4,GatoBus,3,2,3,5,Jindo,Misterioso e independiente. Aparece solo cuando decide. Difícil de vincular.,"El autobús con doce patas y cara de gato que sirve como transporte para los espíritus del bosque. Sus ojos son los faros, sus bigotes anticipan el camino y sus patas corren a una velocidad imposible. Lleva a Satsuki hasta donde Mei está perdida en la escena más aliviadota de la película.",https://static.wikia.nocookie.net/studio-ghibli/images/3/30/Catbus.jpg/revision/latest/scale-to-width-down/600?cb=20181024032653
123,4,Ponyo forma pez,2,5,5,1,Nova Scotia Duck Tolling Retriever,Curiosa y muy activa. Vínculo total e inmediato. Necesita compañía constante.,"La forma original de Ponyo, la hija del mago del mar, cuando todavía vive bajo el agua. Pequeña, roja y con cara de niña, nada a velocidad vertiginosa con sus hermanas y mira el mundo de arriba con una curiosidad que lo cambia todo.",https://static.wikia.nocookie.net/studio-ghibli/images/b/bc/Brunhilda.png/revision/latest/scale-to-width-down/600?cb=20201016144049
124,4,Jiji,3,4,3,3,Lhasa Apso,Sarcástico e independiente pero leal. Confiado y algo comical.,"El gato negro de Kiki, su compañero desde que tiene memoria y el único con quien puede hablar francamente. Durante la película pierde temporalmente la capacidad de entenderlo cuando pierde la confianza en sí misma, lo que convierte a Jiji en un indicador preciso de su estado interior.",https://static.wikia.nocookie.net/studio-ghibli/images/b/b4/Jiji.jpg/revision/latest?cb=20210218143145
125,4,Ohmu,5,3,1,5,Central Asian Shepherd Dog,Muy calmado y poderoso. Vínculo posible solo con respeto profundo. Muy independiente.,"Los insectos gigantes que dominan la Jungla Tóxica y que los humanos temen y atacan. En realidad son los guardianes del equilibrio natural, capaces de purificar la contaminación que los humanos produjeron. Cuando están en calma sus ojos son azules; cuando están furiosos, rojos.",https://static.wikia.nocookie.net/studio-ghibli/images/a/a3/Ohmu.jpg/revision/latest?cb=20181025000500
126,4,Teto,3,4,3,2,Pomeranian,Pequeño y nervioso al principio. Muy leal cuando confía. Alerta y vivo.,La ardilla zorro que Nausicaä calma en su primer encuentro con los forasteros y que desde ese momento la sigue con una lealtad absoluta. Su mordisco inicial y la calma con que Nausicaä lo acepta es el primer indicio de la relación especial que tiene con las criaturas.,iconografia/criaturas/teto.jpg
