"nd","modulo","explicacion_perfil","tecnicas","adaptaciones"
"TEA","5","La socialización en el TEA sigue reglas diferentes, no ausentes. Las personas autistas suelen preferir relaciones profundas y honestas sobre las superficiales y convencionales. Los entornos sociales no estructurados, con mucha gente y reglas implícitas, pueden ser agotadores. Pero en contextos adecuados — grupos de interés compartido, relaciones individuales de confianza — la conexión es plena.","Busca grupos organizados en torno a intereses compartidos — la actividad da estructura a la interacción|La calidad sobre la cantidad: una o dos relaciones profundas son completamente válidas|Identifica tus límites de socialización y respétalos — el agotamiento social (autistic burnout) es real|Aprende a reconocer cuándo necesitas tiempo de recuperación después de interacciones sociales exigentes|Comunica tus necesidades sociales con honestidad a las personas de confianza — quienes te quieren bien lo entenderán","Pide a amigos y familiares que entiendan que necesitas tiempo de descanso después de socializar|Normaliza que prefieres planes con estructura y aviso previo sobre los espontáneos|Comunica que el silencio compartido no es incomodidad — para muchas personas autistas es una forma de conexión|Busca comunidades autistas o neurodivergentes donde las normas sociales sean más explícitas y flexibles"
"AACC","5","Las personas con altas capacidades pueden experimentar dificultades para encontrar pares con quienes conectar a nivel intelectual y emocional. La intensidad con la que viven las relaciones puede resultar abrumadora para otros. La doble excepcionalidad (AACC + otra ND) puede añadir una capa más de complejidad a la socialización.","Busca activamente comunidades donde tu nivel de intensidad e interés sea bienvenido|Aprende a modular la intensidad según el contexto — no cada relación tiene que ser profunda|La soledad elegida es completamente válida — no toda persona con AACC necesita una red social amplia|Trabaja la tolerancia a la imperfección de las relaciones — las personas no siempre estarán a tu nivel y eso está bien|Cultiva relaciones con personas de distintos perfiles — la diversidad enriquece aunque no siempre haya sintonía total","Busca grupos o comunidades de AACC, filosofía, ciencia, arte o cualquier área de profundo interés|Comunica a personas cercanas que necesitas conversaciones sustanciales, no solo charla social|Normaliza que tienes un círculo social pequeño pero intenso — eso no es un problema"
"Discalculia","5","La discalculia no afecta directamente a la socialización. El impacto social puede aparecer en situaciones donde los números tienen un rol: dividir cuentas, calcular propinas, seguir horarios grupales. La inseguridad generada puede llevar a la evitación de ciertas situaciones sociales.","Usa apps de calculadora o división de cuentas para situaciones con números en entornos sociales|Sé directo/a con amigos de confianza: 'los números se me dan mal, ¿puedes ayudarme con esto?'|Elige roles en planes grupales que no dependan del cálculo numérico|No dejes que la inseguridad con los números te haga evitar situaciones sociales que disfrutes","Pide a personas cercanas que no llamen la atención sobre tus dificultades con los números en público|Normaliza el uso de apoyo externo para cálculos en situaciones sociales — todo el mundo usa el móvil"
"Dispraxia/TDC","5","La dispraxia puede generar dificultades en actividades sociales con componente motor: deportes de equipo, baile, juegos de habilidad física. Esto puede generar exclusión o vergüenza en entornos donde esas actividades son centrales. La socialización en sí no está comprometida.","Busca actividades sociales que no dependan de la coordinación motora como eje principal|Comunica con humor y naturalidad tus dificultades motrices — la autoaceptación desactiva la incomodidad social|Elige deportes o actividades físicas adaptadas o de bajo componente coordinativo si quieres la dimensión física|Los juegos de mesa, conversación, arte u otras actividades pueden ser excelentes ejes sociales","Pide a amigos que elijan actividades sociales variadas, no siempre centradas en lo físico|Normaliza con tu entorno que el deporte de equipo no es tu fuerte sin que eso suponga exclusión"
"Síndrome de Tourette","5","El síndrome de Tourette puede generar situaciones de incomodidad social por la reacción de otros ante los tics. Esto puede llevar a la evitación de situaciones sociales o a un esfuerzo agotador de supresión en público. Con el tiempo y con entornos de aceptación, la mayoría de personas con Tourette construyen redes sociales sólidas.","Elige con quién compartir información sobre el Tourette y cuándo — es tu información|Prepara respuestas breves y tranquilas para reacciones de desconocidos: normaliza sin exceso de explicación|Busca comunidades y grupos donde el Tourette sea conocido y aceptado|La aceptación propia es la base de la aceptación social — cuanto más cómodo/a estés tú, más cómodos estarán los demás|Conecta con otras personas con Tourette — la comprensión mutua es especialmente valiosa","Informa a amigos y familia sobre el Tourette para que puedan apoyarte y normalizar ante otros|Pide que no comenten ni reaccionen a los tics en situaciones sociales|Busca entornos sociales donde ya haya comprensión o donde puedas educar sin agotarte"
"SPD","5","El procesamiento sensorial atípico puede hacer que los entornos sociales típicos — bares, fiestas, conciertos, restaurantes ruidosos — sean difíciles de tolerar. Esto puede generar la percepción de que la persona evita socializar, cuando en realidad evita los estímulos del entorno, no a las personas.","Propón entornos alternativos para socializar: espacios tranquilos, al aire libre, casas en lugar de locales|Comunica tus necesidades sensoriales con naturalidad: 'prefiero sitios menos ruidosos'|Planifica el tiempo de recuperación después de entornos sensorialmente exigentes|Busca amigos que valoren los planes tranquilos tanto como los planes de alto estímulo|Lleva siempre contigo tus herramientas de regulación sensorial: tapones, auriculares, gafas de sol","Pide a amigos que consideren tus necesidades sensoriales al elegir planes|Normaliza salir antes de tiempo si la sobrecarga es mucha — sin necesidad de gran explicación|Comunica a personas cercanas que necesitas tiempo de recuperación después de socializar en entornos exigentes"
"Tartamudez","5","La tartamudez puede generar ansiedad social específica en situaciones donde hay que hablar: presentaciones, conocer gente nueva, pedir en un bar. Esto puede llevar a la evitación social o al camuflaje, que resulta agotador. La socialización plena es completamente posible con el apoyo adecuado y la aceptación propia.","Trabaja la aceptación de la tartamudez como parte de ti — la incomodidad de los demás es su trabajo, no el tuyo|Practica situaciones sociales de bajo riesgo para ganar confianza gradualmente|Informa a personas nuevas sobre la tartamudez cuando lo consideres oportuno — reduce la tensión de ambos lados|Busca comunidades de personas con tartamudez — la identificación y el apoyo mutuo son muy valiosos|Celebra cada situación social donde hayas participado plenamente, independientemente de la fluidez","Pide a amigos que no terminen tus frases ni reaccionen a las disfluencias|Normaliza que necesitas un momento antes de hablar en situaciones nuevas|Busca grupos sociales donde la comunicación sea valorada por su contenido, no por su forma"
"Discapacidad Intelectual","5","La socialización es una dimensión especialmente importante para las personas con discapacidad intelectual. Las relaciones de apoyo, amistad y pertenencia contribuyen directamente al bienestar. Los retos pueden aparecer en la lectura de intenciones sociales, en la asertividad o en el manejo de situaciones sociales complejas.","Practica habilidades sociales básicas en entornos seguros y de confianza|Aprende a reconocer situaciones de abuso o manipulación con apoyo de personas de confianza|Busca grupos sociales estructurados con actividades claras — reducen la ambigüedad social|Celebra y refuerza las relaciones positivas que ya tienes|La red de apoyo — familia, cuidadores, amigos — es un recurso valioso, no una limitación","Busca actividades sociales adaptadas o en grupos de apoyo con personas de perfiles similares|Pide a familiares y cuidadores que apoyen la creación de vínculos sociales sin sobreproteger|Comunica cuándo una situación social te genera malestar para que personas de confianza puedan ayudar"
"TOC","5","El TOC puede generar dificultades sociales cuando las obsesiones o compulsiones interfieren en las relaciones: miedo a contaminar, a dañar a otros, rituales visibles en público, peticiones repetidas de reaseguración. La persona con TOC puede evitar situaciones sociales para evitar los desencadenantes o por vergüenza.","Trabaja con apoyo profesional las obsesiones que más impactan en tu vida social|Informa a personas muy cercanas sobre el TOC cuando la relación lo permita — la comprensión reduce la tensión|Practica tolerar la incertidumbre social: no siempre puedes saber cómo te han percibido|Busca comunidades de personas con TOC — la normalización y el apoyo mutuo son muy valiosos|Distingue entre evitación por comodidad y evitación compulsiva — la segunda alimenta el TOC","Pide a personas muy cercanas que no respondan a peticiones repetidas de reaseguración social|Normaliza con tu entorno que a veces necesitas retirarte de situaciones sociales para gestionar la ansiedad|Busca grupos sociales de apoyo para personas con TOC o ansiedad"
"Mutismo Selectivo","5","El mutismo selectivo tiene un impacto directo en la socialización, especialmente en contextos nuevos o con personas desconocidas. Puede generar aislamiento social no deseado o malinterpretarse como arrogancia o desinterés. Las relaciones profundas y de confianza son completamente posibles — el reto está en los primeros contactos.","Construye relaciones desde canales alternativos: texto, mensajes, actividades compartidas sin necesidad de habla inicial|Busca entornos sociales donde el silencio sea aceptable: actividades en paralelo, naturaleza, juegos|Comunica de alguna forma — gesto, nota, mensaje — que estás presente aunque no puedas hablar|Trabaja la exposición gradual a situaciones sociales nuevas con apoyo profesional si es posible|Celebra cada conexión social que hayas podido establecer, en el formato que sea","Pide a amigos de confianza que actúen como puente en situaciones sociales nuevas|Normaliza con tu círculo que no hablar no significa no querer estar|Busca comunidades online o grupos de interés donde la interacción escrita sea la norma"
"Trastorno de Ansiedad Social","5","La ansiedad social afecta directamente a la cantidad y calidad de las interacciones sociales. El miedo al juicio, a decir algo inadecuado o a ser rechazado puede llevar a la evitación progresiva que, a su vez, refuerza la ansiedad. La exposición gradual con apoyo es el camino más efectivo.","Empieza por situaciones sociales de bajo riesgo y ve ampliando gradualmente|Trabaja la autocompasión: cometer errores sociales es universal, no una catástrofe personal|Practica desafiar los pensamientos de catástrofe social: ¿qué probabilidad real hay de que pase lo peor?|Busca grupos o actividades con estructura — reducen la incertidumbre de la interacción libre|Trabaja con apoyo profesional si la evitación social está limitando significativamente tu vida","Pide a personas cercanas que te avisen antes de situaciones sociales inesperadas|Normaliza que necesitas tiempo de recuperación después de socializar|Busca grupos de apoyo para ansiedad social — saber que no estás solo/a tiene un efecto muy potente"
"TANV","5","El trastorno de aprendizaje no verbal puede generar dificultades sociales por la dificultad para leer el lenguaje no verbal: expresiones faciales, tono de voz, lenguaje corporal. Las reglas sociales implícitas pueden resultar confusas. Esto puede generar malentendidos frecuentes o sensación de no encajar, a pesar de tener buenas intenciones sociales.","Aprende reglas sociales de forma explícita — lo que para otros es intuición para ti puede ser conocimiento|Practica preguntar directamente cuando no entiendas una situación social|Busca personas que sean directas y explícitas en su comunicación — son más fáciles de leer|La amistad basada en actividades compartidas o conversación verbal puede ser más cómoda que la que depende del lenguaje no verbal|Trabaja con apoyo profesional los aspectos pragmáticos de la interacción social si generan muchos problemas","Pide a personas cercanas que sean explícitas sobre sus estados emocionales y sus intenciones|Normaliza que necesitas más contexto en situaciones sociales ambiguas|Busca grupos sociales con normas claras y explícitas — los entornos muy informales pueden ser más difíciles"
"Dislexia","6","La dislexia no afecta directamente a la propiocepción ni al procesamiento sensorial en la mayoría de los casos. Sin embargo, la tensión acumulada por el esfuerzo cognitivo constante puede manifestarse corporalmente: fatiga, tensión cervical, dolores de cabeza relacionados con la lectura prolongada. El cuerpo necesita descanso activo después de esfuerzos lectores intensos.","Incorpora pausas activas durante la lectura o escritura: cada 20-30 minutos, movimiento y descanso visual|Practica la regla 20-20-20: cada 20 minutos, mira a 20 metros durante 20 segundos para descansar la vista|El movimiento antes del estudio puede mejorar la activación y reducir la fatiga posterior|Explora si hay condiciones de luz que faciliten la lectura — algunos perfiles con dislexia se benefician de overlays de color|Identifica cómo se manifiesta el agotamiento lector en tu cuerpo y toma eso como señal de pausa","Organiza el espacio de lectura y escritura con buena iluminación y sin reflejos|Pide pausas activas en sesiones largas de trabajo escrito|Explora con un especialista si los overlays de color o lentes tintadas pueden reducir la fatiga visual"
"TDAH","6","Las personas con TDAH suelen tener una relación intensa con el cuerpo: alta energía, necesidad de movimiento, dificultad para permanecer quietos durante mucho tiempo. La hiperactividad física no es un problema a eliminar sino una necesidad a canalizar. El movimiento no solo no interfiere con la concentración — para muchos la mejora.","Incorpora movimiento en tu rutina de estudio o trabajo: pasea mientras piensas, usa una pelota de ejercicio, haz pausa activa|Practica deporte o actividad física regular — regula la dopamina y mejora la función ejecutiva de forma sostenida|El fidgeting (juguetes antiestrés, bolígrafos para maniobrar) puede ayudar a mantener la concentración sin distraer|Identifica qué nivel de activación física necesitas para estar en tu punto óptimo de atención|Explora la meditación de movimiento (yoga, tai chi) como alternativa a la meditación estática","Pide poder levantarte y moverte durante sesiones largas de trabajo o estudio|Solicita la posibilidad de usar herramientas de fidgeting discretas en clase o reuniones|Negocia con tu entorno pausas activas regulares en lugar de sesiones largas sin movimiento"
"TEA","6","Muchas personas autistas tienen un perfil sensorial atípico: hipo o hipersensibilidad en distintas modalidades sensoriales. El procesamiento sensorial puede ser intenso y agotador en entornos no controlados. La propiocepción también puede estar afectada: la conciencia del propio cuerpo, la tolerancia al tacto y la necesidad de estimulación profunda varían mucho entre personas.","Mapea tu perfil sensorial: ¿qué sentidos son hipersensibles? ¿cuáles hiposensibles? Eso define tus estrategias|La estimulación propioceptiva profunda — mantas con peso, ropa ajustada, presión firme — puede ser muy reguladora|Identifica tus estresores sensoriales principales y diseña estrategias de evitación o amortiguación|Los stims (movimientos repetitivos de autorregulación) no son un problema — son una herramienta. No los suprimas|Crea un espacio o rutina de descompresión sensorial para después de entornos exigentes","Organiza tu entorno doméstico o de trabajo con tus necesidades sensoriales como prioridad|Informa a personas cercanas sobre tus necesidades sensoriales para que puedan apoyarte|Trabaja con un terapeuta ocupacional especializado en sensorialidad si el perfil sensorial interfiere significativamente en tu vida"
"AACC","6","Las personas con altas capacidades suelen tener una sensibilidad elevada también a nivel físico: mayor reactividad al dolor, al ruido, a las texturas, a la temperatura. Esto está relacionado con la sobreexcitabilidad psicomotriz y sensorial descrita por Dabrowski. El cuerpo puede ser un canal de procesamiento emocional e intelectual de alta intensidad.","Reconoce la sobreexcitabilidad sensorial como parte de tu perfil — no es exageración|Practica actividades físicas que canalicen la energía y la intensidad: deporte, danza, artes marciales|El contacto con la naturaleza puede ser especialmente regulador para perfiles de alta sensibilidad|Trabaja el autocuidado corporal como práctica consciente, no como obligación|Explora técnicas de regulación que combinen cuerpo y mente: yoga, mindfulness, respiración","Organiza tu entorno con atención a los estresores sensoriales que más te afectan|Comunica a personas cercanas que tu sensibilidad física es real y no una exageración|Busca actividades físicas que disfrutes y que te regulen, no solo las que se supone que deberías hacer"
"Discalculia","6","La discalculia no afecta directamente a la propiocepción ni al procesamiento sensorial. Sin embargo, puede generar dificultades en actividades que implican estimaciones de tiempo, distancia o cantidad corporal: calcular cuánto tiempo llevas caminando, estimar distancias, seguir ritmos musicales basados en conteo.","Usa apoyos externos para la gestión temporal del cuerpo: temporizadores, alarmas, recordatorios de movimiento|Practica actividades físicas sin componente de conteo o medición estricta: paseo libre, baile intuitivo, natación|Explora el movimiento como experiencia sensorial en lugar de como rendimiento medible|Trabaja la interocepcón: aprende a escuchar las señales de tu cuerpo (hambre, cansancio, tensión) como información","Usa alarmas para recordar pausas de movimiento o descanso en lugar de depender del sentido del tiempo|Elige actividades físicas donde el conteo no sea central si te genera estrés"
"Dispraxia/TDC","6","La dispraxia afecta directamente a la propiocepción y a la planificación motora. La conciencia del propio cuerpo en el espacio puede ser reducida, lo que genera torpeza, dificultad para aprender movimientos nuevos y fatiga al realizar tareas motoras que para otros son automáticas. El cuerpo requiere más atención consciente para funciones que en otros son inconscientes.","La terapia ocupacional es el recurso más efectivo — un profesional puede diseñar un programa personalizado|Practica actividades que mejoren la propiocepción: yoga, tai chi, natación — movimientos lentos y conscientes|El entrenamiento motor requiere mucha más repetición que en personas sin dispraxia — normaliza ese ritmo|Trabaja la conciencia corporal de forma explícita: ejercicios de atención al cuerpo, respiración, equilibrio|El cansancio físico en tareas motoras cotidianas es real — programa descansos y no te exijas el estándar de otro","Trabaja con un terapeuta ocupacional si las dificultades motrices afectan a las actividades cotidianas|Organiza el entorno para reducir las demandas motoras: objetos accesibles, superficies despejadas|Elige actividades físicas adaptadas a tu perfil motor — el deporte de equipo de alta coordinación puede no ser la mejor opción|Pide apoyo sin vergüenza en tareas que requieran coordinación fina o gruesa"
"Síndrome de Tourette","6","El síndrome de Tourette implica tics motores que el cuerpo realiza de forma involuntaria. La supresión activa de tics consume energía física y cognitiva significativa. Después de periodos de supresión, suele haber un rebote de tics. El cuerpo necesita espacios donde los tics puedan expresarse libremente para recuperarse.","Crea espacios y momentos donde puedas liberar tics sin presión social — es necesario para el bienestar|Identifica qué situaciones aumentan la frecuencia de tics (estrés, cansancio, emoción intensa) y gestiona esas variables|El ejercicio físico puede reducir la frecuencia de tics en algunas personas — explora qué funciona para ti|Técnicas de relajación y mindfulness pueden ayudar a gestionar la tensión asociada a los tics|Trabaja con un neurólogo o psicólogo especializado si los tics son muy limitantes","Crea en casa un entorno donde los tics no necesiten ser suprimidos|Comunica a personas cercanas que necesitas momentos de descompresión sin expectativas|Busca actividades físicas donde el movimiento sea libre y los tics no interfieran"
"SPD","6","El trastorno de procesamiento sensorial es, por definición, una condición que afecta profundamente a la experiencia corporal. El sistema nervioso procesa los estímulos sensoriales de forma diferente: algunos son amplificados (hipersensibilidad), otros apenas registrados (hiposensibilidad). La regulación sensorial es el trabajo central de este módulo.","Mapea detalladamente tu perfil sensorial con ayuda de un terapeuta ocupacional si es posible|La estimulación propioceptiva profunda (mantas con peso, abrazo firme, ejercicio de resistencia) es reguladora para muchos perfiles SPD|Crea una 'dieta sensorial' personalizada: qué estimulación necesitas, cuándo y cómo incorporarla en el día|Identifica tus señales de sobrecarga sensorial temprana para actuar antes de llegar al colapso|El entorno físico es tu primera herramienta: luz, sonido, temperatura, texturas — controla lo que puedas","Trabaja con un terapeuta ocupacional especializado en procesamiento sensorial|Organiza tu espacio de vida con tus necesidades sensoriales como criterio principal|Informa a personas cercanas sobre tu perfil sensorial para que puedan apoyarte y evitar desencadenantes|Comunica en entornos laborales o educativos las adaptaciones de entorno que necesitas"
"Tartamudez","6","La tartamudez tiene una importante dimensión corporal: la tensión muscular en garganta, mandíbula y pecho, la respiración que se altera antes de situaciones difíciles, la activación fisiológica del estrés anticipatorio. Trabajar el cuerpo es una parte esencial del abordaje de la tartamudez, complementaria al trabajo logopédico.","Practica la respiración diafragmática como técnica de regulación antes de situaciones de habla difíciles|Trabaja la relajación muscular progresiva, especialmente en cuello, mandíbula y hombros|El ejercicio físico regular ayuda a gestionar la activación general y reduce la tensión basal|La conciencia corporal (mindfulness, yoga) puede ayudar a detectar y liberar tensiones antes de hablar|Explora técnicas de fluidez con un logopeda especializado en tartamudez","Busca espacios físicos donde te sientas cómodo/a para practicar el habla sin tensión|Incorpora rutinas de relajación física antes de situaciones sociales o laborales exigentes|Trabaja con un logopeda especializado si todavía no lo haces"
"Discapacidad Intelectual","6","La conciencia corporal y la regulación sensorial son áreas que pueden requerir apoyo específico en la discapacidad intelectual. El reconocimiento de las propias necesidades físicas (hambre, cansancio, malestar, placer) y la expresión de esas necesidades puede necesitar trabajo explícito.","Trabaja el reconocimiento de sensaciones corporales básicas con apoyos visuales si es necesario|Establece rutinas corporales predecibles: horas de comida, descanso, movimiento|La actividad física regular y placentera contribuye al bienestar general y a la regulación|Practica nombrar sensaciones físicas: 'tengo calor', 'me duele aquí', 'estoy cansado/a'|El contacto con la naturaleza y el movimiento libre tienen efectos muy positivos en el bienestar","Crea rutinas corporales claras y predecibles con apoyo de familiares o cuidadores|Trabaja con un terapeuta ocupacional si hay dificultades significativas de procesamiento sensorial o propiocepción|Enseña y practica la comunicación de necesidades físicas en entornos seguros"
"TOC","6","El TOC tiene una dimensión corporal importante: la ansiedad se manifiesta físicamente (tensión, taquicardia, sensación de urgencia) y muchas compulsiones implican el cuerpo (lavado, comprobación, rituales físicos). Aprender a regular la respuesta corporal de ansiedad es una parte esencial del manejo del TOC.","Aprende a reconocer las señales físicas tempranas del TOC: dónde se manifiesta la ansiedad en tu cuerpo|La activación física (ejercicio aeróbico) reduce la ansiedad general y puede interrumpir ciclos obsesivos|Técnicas de regulación del sistema nervioso (respiración, movimiento, frío) pueden ayudar en momentos de alta compulsión|Practica tolerancia a la incomodidad física asociada a no realizar la compulsión — es temporal|Trabaja con un profesional la respuesta corporal de ansiedad como parte del tratamiento del TOC","Incorpora actividad física regular como parte del manejo del TOC|Crea rutinas de regulación corporal para momentos de alta ansiedad|Trabaja con un psicólogo especializado en TOC — el abordaje corporal es parte del tratamiento integral"
"Mutismo Selectivo","6","El mutismo selectivo tiene una base de ansiedad que se manifiesta físicamente: bloqueo vocal, tensión muscular, activación del sistema nervioso autónomo. Trabajar la regulación del sistema nervioso es fundamental para reducir la respuesta de congelación que impide hablar.","Practica técnicas de regulación del sistema nervioso: respiración lenta, movimiento suave, contacto con el suelo|El ejercicio físico regular reduce la activación basal de ansiedad|Identifica en tu cuerpo las señales de que la ansiedad está subiendo antes del bloqueo — ese es el momento de actuar|El yoga, el tai chi o la danza pueden ser formas de conectar con el cuerpo y regular el sistema nervioso|Trabaja con un psicólogo especializado en ansiedad y mutismo selectivo","Crea rutinas de regulación corporal antes de situaciones potencialmente difíciles|Incorpora movimiento y descanso en tu día como herramientas de regulación, no como obligaciones|Busca apoyo profesional si la respuesta de ansiedad corporal es muy intensa o frecuente"
"Trastorno de Ansiedad Social","6","La ansiedad social tiene una expresión corporal clara: taquicardia, sudoración, rubor, tensión muscular, temblor. Estos síntomas físicos pueden ser percibidos por la persona y aumentar la ansiedad ('me van a notar'). Trabajar la regulación corporal de la ansiedad es tan importante como trabajar los pensamientos.","Aprende a reconocer tu respuesta física de ansiedad social — ¿dónde la notas? ¿cómo empieza?|Practica la respiración abdominal lenta como técnica de regulación inmediata en situaciones de ansiedad|El ejercicio aeróbico regular es uno de los ansiolíticos naturales más efectivos|Practica la exposición gradual a situaciones de activación moderada — el cuerpo aprende que puede manejarla|Trabaja con un profesional si la respuesta física de ansiedad es muy intensa o limitante","Incorpora actividad física regular como parte del manejo de la ansiedad social|Crea rutinas de regulación antes de situaciones sociales exigentes|Trabaja con un psicólogo especializado en ansiedad social — el abordaje corporal es parte del tratamiento"
"TANV","6","El trastorno de aprendizaje no verbal puede incluir dificultades propioceptivas: la conciencia del cuerpo en el espacio, la coordinación y el equilibrio pueden ser áreas de dificultad. Además, la integración sensorial visual-espacial puede afectar a la orientación en el entorno físico.","Trabaja la conciencia corporal de forma explícita: yoga, tai chi, ejercicios de equilibrio consciente|El movimiento lento y consciente puede mejorar la propiocepción mejor que el deporte de alta velocidad|Usa apoyos externos para la orientación espacial: mapas, referencias visuales, GPS|Practica actividades físicas donde el componente espacial sea simple y predecible|Trabaja con un terapeuta ocupacional si las dificultades propioceptivas afectan a las actividades cotidianas","Organiza el entorno físico de forma clara y predecible para reducir la demanda de orientación espacial|Trabaja con un terapeuta ocupacional si hay dificultades significativas de propiocepción o integración sensorial|Comunica a personas cercanas que la orientación en el espacio puede ser más difícil para ti"
